     shots,    errors,  discards, seconds,decoder,strong_id,json_metadata,custom_counts
         8,         0,         0,    1.48,mwpf__c15b7bb0ff0012f0b948662426ce893e94240819d364bcf73c902cabc84cd33e,4836a6256ec9cf7d274b38aed4c7b7454299c87c216c6edd3ffabc406f995116,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":27,""run_id"":""46b35d0fc399f4bd986b261367f981aff72f4db7f9e3eaf11f0fa2338e3ec458""}",
         1,         0,         0,   0.527,mwpf__3de0d8ba3d4f26a4aa47761089b54c7f9aa32f5bb30c252ef4ff9641d3422a8b,5f445648feac72d33661740427e68d0cd01752e4d0c5077c76ebd04073024775,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.01,""p_erase"":0.0,""r"":27,""run_id"":""6b89ea55942bd903fc9de7195a114f8fd81aba8225c2ead847c4f5ead4730f95""}",
         1,         0,         0,    3.33,mwpf__aa950e61247fa49b97ba2e4846e5caae67b7200469ac9849b5c1eac27c2911e5,6bf244f37b3a5b598d84faf3843f45f8452c9f3c0671cde50797820b706d88be,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.011,""p_erase"":0.0,""r"":27,""run_id"":""df8149f089fa2bb225048ada61fd134f48599de5ea86075a8cef94f27ba707b4""}",
         2,         0,         0,   0.187,mwpf__6ed5ff748543711e5cd7b4f80c85e8a4facd73595b09b8e8c91b2fc6ea7bca87,86079d2dde882a1b36fdb0f0be90ce0bc9b3fcb68ef79806912138a3e1eefab5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":27,""run_id"":""4cab9b35185258cd2ab7f1806b7c3d16a626fa96dd58cd5907dd5e222a7a9d91""}",
         2,         0,         0,   0.405,mwpf__72173c4f37fb755c0d039c1fdc4c2478d1514eecb0fb7246d38ee53f7f6c33de,450af0b6d793a26749cdbbc154715f1e957fa6a1de50ad294d57a2e56e8faa68,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":27,""run_id"":""d97729197ec9a9cc3beb7b4105ee96f26b6723caa81371ab95a553fce7788c2e""}",
       128,         0,         0,   0.810,mwpf__6b20241fdef0bc50af7bc5beb4af9085525359ff7961438f1d6c14e7a40559fc,6497b989ace1f5c4a466377684ff9e6e71bf768cf2005e5b0935ab83dc325a4d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.001,""p_erase"":0.0,""r"":27,""run_id"":""84219ea677c17ec3283ee1385a1d135bd22bd4da5f9bbb2cb86709e81fbe2de3""}",
         4,         0,         0,   0.728,mwpf__c15b7bb0ff0012f0b948662426ce893e94240819d364bcf73c902cabc84cd33e,4836a6256ec9cf7d274b38aed4c7b7454299c87c216c6edd3ffabc406f995116,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":27,""run_id"":""46b35d0fc399f4bd986b261367f981aff72f4db7f9e3eaf11f0fa2338e3ec458""}",
         8,         0,         0,   0.870,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         2,         0,         0,    1.43,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
         2,         0,         0,   0.785,mwpf__72173c4f37fb755c0d039c1fdc4c2478d1514eecb0fb7246d38ee53f7f6c33de,450af0b6d793a26749cdbbc154715f1e957fa6a1de50ad294d57a2e56e8faa68,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":27,""run_id"":""d97729197ec9a9cc3beb7b4105ee96f26b6723caa81371ab95a553fce7788c2e""}",
       128,         0,         0,   0.567,mwpf__6b20241fdef0bc50af7bc5beb4af9085525359ff7961438f1d6c14e7a40559fc,6497b989ace1f5c4a466377684ff9e6e71bf768cf2005e5b0935ab83dc325a4d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.001,""p_erase"":0.0,""r"":27,""run_id"":""84219ea677c17ec3283ee1385a1d135bd22bd4da5f9bbb2cb86709e81fbe2de3""}",
         1,         1,         0,    1.11,mwpf__aa950e61247fa49b97ba2e4846e5caae67b7200469ac9849b5c1eac27c2911e5,6bf244f37b3a5b598d84faf3843f45f8452c9f3c0671cde50797820b706d88be,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.011,""p_erase"":0.0,""r"":27,""run_id"":""df8149f089fa2bb225048ada61fd134f48599de5ea86075a8cef94f27ba707b4""}",
         1,         0,         0,   0.345,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
         2,         0,         0,   0.181,mwpf__72173c4f37fb755c0d039c1fdc4c2478d1514eecb0fb7246d38ee53f7f6c33de,450af0b6d793a26749cdbbc154715f1e957fa6a1de50ad294d57a2e56e8faa68,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":27,""run_id"":""d97729197ec9a9cc3beb7b4105ee96f26b6723caa81371ab95a553fce7788c2e""}",
         1,         1,         0,    1.35,mwpf__3de0d8ba3d4f26a4aa47761089b54c7f9aa32f5bb30c252ef4ff9641d3422a8b,5f445648feac72d33661740427e68d0cd01752e4d0c5077c76ebd04073024775,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.01,""p_erase"":0.0,""r"":27,""run_id"":""6b89ea55942bd903fc9de7195a114f8fd81aba8225c2ead847c4f5ead4730f95""}",
         1,         0,         0,    2.37,mwpf__f4d39fc10386a89ff38f3d31b2e48ffe9d083a7fd716f793840309d01ff8379d,145c3dd4686f49e58233aad1f6cb32492657ff0053b40db3658e5aead9d622e0,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.009,""p_erase"":0.0,""r"":27,""run_id"":""ff21a10e786fdbe645e9c3fa60c001df4cfdc01991613b981a22f8f187b7f8c9""}",
         1,         0,         0,   0.357,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
         4,         0,         0,    1.47,mwpf__6ed5ff748543711e5cd7b4f80c85e8a4facd73595b09b8e8c91b2fc6ea7bca87,86079d2dde882a1b36fdb0f0be90ce0bc9b3fcb68ef79806912138a3e1eefab5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":27,""run_id"":""4cab9b35185258cd2ab7f1806b7c3d16a626fa96dd58cd5907dd5e222a7a9d91""}",
         8,         0,         0,    1.02,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         4,         0,         0,    1.20,mwpf__c15b7bb0ff0012f0b948662426ce893e94240819d364bcf73c902cabc84cd33e,4836a6256ec9cf7d274b38aed4c7b7454299c87c216c6edd3ffabc406f995116,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":27,""run_id"":""46b35d0fc399f4bd986b261367f981aff72f4db7f9e3eaf11f0fa2338e3ec458""}",
         6,         0,         0,   0.592,mwpf__6ed5ff748543711e5cd7b4f80c85e8a4facd73595b09b8e8c91b2fc6ea7bca87,86079d2dde882a1b36fdb0f0be90ce0bc9b3fcb68ef79806912138a3e1eefab5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":27,""run_id"":""4cab9b35185258cd2ab7f1806b7c3d16a626fa96dd58cd5907dd5e222a7a9d91""}",
         2,         0,         0,    3.18,mwpf__a84eaf4abfe907a932c6015e39161f585dcfce91bfc28e37cdd0de963adf1257,5fb873a54f64183f4b432d7c791ff695e3a9b1308a353e686213ee85b5bf073c,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":27,""run_id"":""f720d5971f43fd95a6eb87f1b71bf149134828490d7e52580da913a2fa024f7c""}",
         1,         0,         0,   0.996,mwpf__3de0d8ba3d4f26a4aa47761089b54c7f9aa32f5bb30c252ef4ff9641d3422a8b,5f445648feac72d33661740427e68d0cd01752e4d0c5077c76ebd04073024775,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.01,""p_erase"":0.0,""r"":27,""run_id"":""6b89ea55942bd903fc9de7195a114f8fd81aba8225c2ead847c4f5ead4730f95""}",
         8,         0,         0,   0.700,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         1,         1,         0,   0.850,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
       128,         0,         0,    1.31,mwpf__6b20241fdef0bc50af7bc5beb4af9085525359ff7961438f1d6c14e7a40559fc,6497b989ace1f5c4a466377684ff9e6e71bf768cf2005e5b0935ab83dc325a4d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.001,""p_erase"":0.0,""r"":27,""run_id"":""84219ea677c17ec3283ee1385a1d135bd22bd4da5f9bbb2cb86709e81fbe2de3""}",
         4,         0,         0,   0.678,mwpf__c15b7bb0ff0012f0b948662426ce893e94240819d364bcf73c902cabc84cd33e,4836a6256ec9cf7d274b38aed4c7b7454299c87c216c6edd3ffabc406f995116,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":27,""run_id"":""46b35d0fc399f4bd986b261367f981aff72f4db7f9e3eaf11f0fa2338e3ec458""}",
         1,         0,         0,   0.247,mwpf__a84eaf4abfe907a932c6015e39161f585dcfce91bfc28e37cdd0de963adf1257,5fb873a54f64183f4b432d7c791ff695e3a9b1308a353e686213ee85b5bf073c,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":27,""run_id"":""f720d5971f43fd95a6eb87f1b71bf149134828490d7e52580da913a2fa024f7c""}",
         4,         0,         0,   0.723,mwpf__6ed5ff748543711e5cd7b4f80c85e8a4facd73595b09b8e8c91b2fc6ea7bca87,86079d2dde882a1b36fdb0f0be90ce0bc9b3fcb68ef79806912138a3e1eefab5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":27,""run_id"":""4cab9b35185258cd2ab7f1806b7c3d16a626fa96dd58cd5907dd5e222a7a9d91""}",
         2,         0,         0,    6.75,mwpf__f4d39fc10386a89ff38f3d31b2e48ffe9d083a7fd716f793840309d01ff8379d,145c3dd4686f49e58233aad1f6cb32492657ff0053b40db3658e5aead9d622e0,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.009,""p_erase"":0.0,""r"":27,""run_id"":""ff21a10e786fdbe645e9c3fa60c001df4cfdc01991613b981a22f8f187b7f8c9""}",
         1,         0,         0,    5.03,mwpf__8c0dee3b72490cd99940eb344db6dd047bfda29afb5b61597b97539b079c72d8,4a9c64a159c68bbef2b1487bd9ce846f6fd4e451c6f28d2659bf00c12820cdb9,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":27,""run_id"":""310d17c43a0b4c7b4cddac58dc5999da13b706985eb107267c12d661b860647c""}",
       192,         0,         0,   0.644,mwpf__6b20241fdef0bc50af7bc5beb4af9085525359ff7961438f1d6c14e7a40559fc,6497b989ace1f5c4a466377684ff9e6e71bf768cf2005e5b0935ab83dc325a4d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.001,""p_erase"":0.0,""r"":27,""run_id"":""84219ea677c17ec3283ee1385a1d135bd22bd4da5f9bbb2cb86709e81fbe2de3""}",
         8,         0,         0,   0.764,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         1,         0,         0,   0.800,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
         8,         0,         0,   0.396,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         4,         2,         0,   0.992,mwpf__6ed5ff748543711e5cd7b4f80c85e8a4facd73595b09b8e8c91b2fc6ea7bca87,86079d2dde882a1b36fdb0f0be90ce0bc9b3fcb68ef79806912138a3e1eefab5,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.006,""p_erase"":0.0,""r"":27,""run_id"":""4cab9b35185258cd2ab7f1806b7c3d16a626fa96dd58cd5907dd5e222a7a9d91""}",
         1,         0,         0,   0.885,mwpf__8c0dee3b72490cd99940eb344db6dd047bfda29afb5b61597b97539b079c72d8,4a9c64a159c68bbef2b1487bd9ce846f6fd4e451c6f28d2659bf00c12820cdb9,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":27,""run_id"":""310d17c43a0b4c7b4cddac58dc5999da13b706985eb107267c12d661b860647c""}",
         1,         0,         0,   0.868,mwpf__3ebedd84177c526063d38deffdc5f7995e8b39297a4d2ab60991457e1c1f2bfa,d6945f43432daf14926073c1f216e0a7921b3342d8848e2c91499f36339ed255,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0075,""p_erase"":0.0,""r"":27,""run_id"":""a04c9b7f2593f94d57dbede2cebf935e30e76acb0762bc8d6931f304cac92d86""}",
         1,         0,         0,    2.70,mwpf__f4d39fc10386a89ff38f3d31b2e48ffe9d083a7fd716f793840309d01ff8379d,145c3dd4686f49e58233aad1f6cb32492657ff0053b40db3658e5aead9d622e0,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.009,""p_erase"":0.0,""r"":27,""run_id"":""ff21a10e786fdbe645e9c3fa60c001df4cfdc01991613b981a22f8f187b7f8c9""}",
         2,         0,         0,    1.55,mwpf__a84eaf4abfe907a932c6015e39161f585dcfce91bfc28e37cdd0de963adf1257,5fb873a54f64183f4b432d7c791ff695e3a9b1308a353e686213ee85b5bf073c,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":27,""run_id"":""f720d5971f43fd95a6eb87f1b71bf149134828490d7e52580da913a2fa024f7c""}",
         1,         0,         0,   0.290,mwpf__8c0dee3b72490cd99940eb344db6dd047bfda29afb5b61597b97539b079c72d8,4a9c64a159c68bbef2b1487bd9ce846f6fd4e451c6f28d2659bf00c12820cdb9,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.008,""p_erase"":0.0,""r"":27,""run_id"":""310d17c43a0b4c7b4cddac58dc5999da13b706985eb107267c12d661b860647c""}",
         4,         0,         0,    3.00,mwpf__72173c4f37fb755c0d039c1fdc4c2478d1514eecb0fb7246d38ee53f7f6c33de,450af0b6d793a26749cdbbc154715f1e957fa6a1de50ad294d57a2e56e8faa68,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":27,""run_id"":""d97729197ec9a9cc3beb7b4105ee96f26b6723caa81371ab95a553fce7788c2e""}",
         4,         0,         0,    1.94,mwpf__c15b7bb0ff0012f0b948662426ce893e94240819d364bcf73c902cabc84cd33e,4836a6256ec9cf7d274b38aed4c7b7454299c87c216c6edd3ffabc406f995116,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.005,""p_erase"":0.0,""r"":27,""run_id"":""46b35d0fc399f4bd986b261367f981aff72f4db7f9e3eaf11f0fa2338e3ec458""}",
         1,         1,         0,   0.378,mwpf__a84eaf4abfe907a932c6015e39161f585dcfce91bfc28e37cdd0de963adf1257,5fb873a54f64183f4b432d7c791ff695e3a9b1308a353e686213ee85b5bf073c,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.007,""p_erase"":0.0,""r"":27,""run_id"":""f720d5971f43fd95a6eb87f1b71bf149134828490d7e52580da913a2fa024f7c""}",
       128,         0,         0,    1.46,mwpf__6b20241fdef0bc50af7bc5beb4af9085525359ff7961438f1d6c14e7a40559fc,6497b989ace1f5c4a466377684ff9e6e71bf768cf2005e5b0935ab83dc325a4d,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.001,""p_erase"":0.0,""r"":27,""run_id"":""84219ea677c17ec3283ee1385a1d135bd22bd4da5f9bbb2cb86709e81fbe2de3""}",
         8,         0,         0,    1.04,mwpf__e464f2d6feb4169bf921ee71c61a166fa54aa6d9fc8aafef9186d17a5b3157ce,ca032f963ae8b0a09b3c0575cc72c15f12738d5e31f7547119d853d406e651a6,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.004,""p_erase"":0.0,""r"":27,""run_id"":""dfa10e4705b239f568dc861208894c334d09727348aa108fce2bfa124564d3b8""}",
         1,         0,         0,    7.66,mwpf__aa950e61247fa49b97ba2e4846e5caae67b7200469ac9849b5c1eac27c2911e5,6bf244f37b3a5b598d84faf3843f45f8452c9f3c0671cde50797820b706d88be,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.011,""p_erase"":0.0,""r"":27,""run_id"":""df8149f089fa2bb225048ada61fd134f48599de5ea86075a8cef94f27ba707b4""}",
         2,         0,         0,   0.350,mwpf__72173c4f37fb755c0d039c1fdc4c2478d1514eecb0fb7246d38ee53f7f6c33de,450af0b6d793a26749cdbbc154715f1e957fa6a1de50ad294d57a2e56e8faa68,"{""circuit"":""surface_code:rotated_memory_x"",""cluster_node_limit"":50,""d"":9,""decoder"":""mwpf"",""decoder_type"":""SolverSerialJointSingleHair"",""p"":0.0065,""p_erase"":0.0,""r"":27,""run_id"":""d97729197ec9a9cc3beb7b4105ee96f26b6723caa81371ab95a553fce7788c2e""}",
